company	industry	sector	year	url	filename	paragraph	tot_p	p_nr
Alexandria Real Estate Equities, Inc.	REIT - Industrial	Financial	2018.0	https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ARE_2018.pdf	AlexandriaRealEstateEquities,Inc.-2018.pdf	CORPORATE RESPONSIBILITY REPORT ALEXANDRIA REAL ESTATE EQUITIES, INC. Stripe Headquarters | 510 Townsend Street, San Francisco, CA | 2018 LEED Platinum Certification ALEXANDRIAS SUSTAINABILITY MISSION is to make positive and meaningful impact on the health, safety, and well-being of our tenants, stockholders, and employees, and the communities in which we live and work. ON THE COVER 510 Townsend Street, 295,333 RSF development project for Stripe, Inc., technology company that builds economic infrastructure for the internet, in Alexandrias Mission Bay/ SoMa submarket of San Francisco. The award-winning, highly sustainable project achieved LEED Platinum certification in 2018. The innovative Class facility features energy-efcient, healthy work spaces; reclaimed-water system; and public improvements that promote walkability and biodiversity.	111	1
Alexandria Real Estate Equities, Inc.	REIT - Industrial	Financial	2018.0	https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ARE_2018.pdf	AlexandriaRealEstateEquities,Inc.-2018.pdf	LARGE CAP EQUITY REIT GOLD AWARD 2015 | 2016 | 2018 | 2019 COMMUNICATIONS AND REPORTING EXCELLENCE Leader In The Light Award 2017 Highest Achievement In Sustainability Innovation ALEXANDRIAS AWARDS & RECOGNITIONS Alexandrias Corporate Responsibility Report highlights our environmental, social, and governance (ESG) efforts benefitting our tenants, employees, and communities, as well as preserving and enhancing value for our stockholders over the long term. 02 CORPORATE OVERVIEW 03 KEY 2018 ACHIEVEMENTS IN ESG 04 LETTER TO STAKEHOLDERS ENVIRONMENTAL Alexandria is committed to high and improving levels of sustainability. We minimize our environmental impact by targeting LEED Gold or Platinum certification for our new developments and by reducing energy use, carbon pollution, water use, and waste from our buildings in operation. 06 DEVELOPMENT & REDEVELOPMENT OF NEW CLASS PROPERTIES	111	2
Alexandria Real Estate Equities, Inc.	REIT - Industrial	Financial	2018.0	https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ARE_2018.pdf	AlexandriaRealEstateEquities,Inc.-2018.pdf	Longstanding Commitment to & Leadership in Green Building That Enable Industry-Leading Green Bond Issuance 09 EXISTING BUILDINGS Commitment to Operational Excellence 10 CLIMATE CHANGE Leadership in Risk Management, Resilience & Disclosure 12 HEALTH & WELLNESS Leadership in Developing Sustainable & Collaborative Campus Environments That Promote Health, Wellness & Productivity 14 TRANSPORTATION PROGRAMS Providing Sustainable Commuting Options on Our Campuses SOCIAL Alexandria is proud to be widely recognized for our industry leadership and longstanding focus on innovative approaches to developing sustainable and collaborative campus environments and healthy workplaces that enhance the recruitment and retention of world-class talent, promote health and well-being, and inspire productivity, efficiency, creativity, and success. 15 COMMUNITY & ECONOMIC DEVELOPMENT Making Distinctive Impact on the Communities in Which We Live & Work 16	111	3
Alexandria Real Estate Equities, Inc.	REIT - Industrial	Financial	2018.0	https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ARE_2018.pdf	AlexandriaRealEstateEquities,Inc.-2018.pdf	PEOPLE Prioritizing Our Best-in-Class Team 18 PHILANTHROPY & VOLUNTEERISM Providing Mission-Critical Support & Resources to Leading-Edge Non-Profit Organizations 21 THOUGHT LEADERSHIP & PATIENT ENGAGEMENT Driving the Development of Innovative Therapies to Advance Human Health GOVERNANCE Alexandria operates on foundation of sound corporate governance and risk management practices and philosophies, reflecting our best-practices approach to advancing our corporate mission. 23 CORPORATE GOVERNANCE 24 GRI CONTENT INDEX 28 FORWARD-LOOKING STATEMENTS 2018 Corporate Responsibility Report 01 ALEXANDRIAS CORPORATE OVERVIEW Alexandrias mission is to create clusters that ignite and accelerate the worlds leading innovators in their noble pursuit of advancing human health by curing disease and improving nutrition.	111	4
Alexandria Real Estate Equities, Inc.	REIT - Industrial	Financial	2018.0	https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ARE_2018.pdf	AlexandriaRealEstateEquities,Inc.-2018.pdf	Alexandria Real Estate Equities, Inc. (NYSE:ARE), an&500 company, is an urban office REIT uniquely focused on collaborative life science and technology campuses in AAA innovation cluster locations, including Greater Boston, San Francisco, New York City, San Diego, Seattle, Maryland, and Research Triangle. Alexandria has longstanding and proven track record of developing Class properties clustered in urban life science and technology campuses that provide our innovative tenants with highly dynamic and collaborative environments that enhance their ability to successfully recruit and retain world-class talent and inspire productivity, efficiency, creativity, and success. For more information, please visit 	111	5
Alexandria Real Estate Equities, Inc.	REIT - Industrial	Financial	2018.0	https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ARE_2018.pdf	AlexandriaRealEstateEquities,Inc.-2018.pdf	San Diego 4.8M RSF San Francisco 6.3M RSF New York City 1.3M RSF As of December 31, 2018. RSF represents rentable square feet of buildings in operation, including development and redevelopment properties. Research Triangle 1.2M RSF Seattle 1.4M RSF Maryland 2.6M RSF Greater Boston 6.4M RSF ALEXANDRIAS URBAN INNOVATION CLUSTER LOCATIONS 2018 KEY HIGHLIGHTS1 $1.3B Total Revenues $18.4B Total Market Capitalization 237 Properties2 ALEXANDRIAS STRONG PER-SHARE GROWTH 2013 2013 2013 2018 2018 2018 $6.60 $3.73 $2.61 $4.40 $137 $70 Net Asset Value3 Funds From Operations4 Common Stock Dividend5 +96% +50% +43% 1. As of and for the year ended December 31, 2018.	111	6
Alexandria Real Estate Equities, Inc.	REIT - Industrial	Financial	2018.0	https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ARE_2018.pdf	AlexandriaRealEstateEquities,Inc.-2018.pdf	. In Alexandrias North American asset base, including development and redevelopment properties. 3. Based on average net asset value estimates for each year presented from Bank of America Merrill Lynch, Barclays Capital Inc., Citigroup Global Markets Inc., Evercore ISI, Green Street Advisors, Inc., J.P. Morgan Securities LLC, and UBS Securities LLC.	111	7
Alexandria Real Estate Equities, Inc.	REIT - Industrial	Financial	2018.0	https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ARE_2018.pdf	AlexandriaRealEstateEquities,Inc.-2018.pdf	. Represents funds from operations diluted, as adjusted. For information on Alexandrias funds from operations, including definition and reconciliation to the most directly comparable GAAP measure, see Non-GAAP Measures and Definitions under Item 7 of Alexandrias Annual Report on Form 10-for the fiscal years ended December 31, 2013 and 2018.	111	8
Alexandria Real Estate Equities, Inc.	REIT - Industrial	Financial	2018.0	https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ARE_2018.pdf	AlexandriaRealEstateEquities,Inc.-2018.pdf	. Represents common stock dividends declared. Source: Bloomberg. Assumes reinvestment of dividends. 1. Alexandrias IPO priced at $20.00 per share on May 27, 1997. Alexandria Microsoft Walmart Berkshire Hathaway MSCI US REIT Index Nasdaq FTSE Nareit Equity Ofce Index Russell 2000&500 0% 300% 600% 900% 1,200% TOTAL SHAREHOLDER RETURN COMPARISON 411% 881% 793% 612% 525% 474% 375% 342% 1,219% ALEXANDRIAS SOLID PERFORMANCE (MAY 27, 1997DECEMBER 31, 2018)1 02 Alexandria Real Estate Equities, Inc.	111	9
Alexandria Real Estate Equities, Inc.	REIT - Industrial	Financial	2018.0	https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ARE_2018.pdf	AlexandriaRealEstateEquities,Inc.-2018.pdf	ALEXANDRIAS KEY 2018 ACHIEVEMENTS IN ESG WE TRULY FEEL AS SHAREHOLDERS THAT ALEXANDRIA IS LEADER IN ESG. BRADFORD STOESSER GLOBAL INDUSTRY ANALYST WELLINGTON MANAGEMENT COMPANY, LLP LEADER IN WORKPLACE HEALTH & WELLNESS LEADER IN PHILANTHROPY & VOLUNTEERISM 2,600+ Hours volunteered by Alexandria team members 250+ Non-profit organizations Alexandria supported with mission-critical resources LEADER IN GREEN DEVELOPMENT 51% Percentage of total annual rental revenue generated from LEED projects1 New ground-up developments target LEED Gold or Platinum certification 1. Upon completion of 15 projects with 2.8 million RSF in process targeting LEED certification as of December 31, 2018. $450M Green bond issuance in June 2018, funds from which can be allocated to projects that have achieved or are targeting LEED Gold or Platinum certification	111	10
Alexandria Real Estate Equities, Inc.	REIT - Industrial	Financial	2018.0	https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ARE_2018.pdf	AlexandriaRealEstateEquities,Inc.-2018.pdf	RECOGNIZED AS THE INAUGURAL INDUSTRY LEADING COMPANY in Fitwels 2018 Best in Building Health EARNED THE WORLDS FIRST WELL CERTIFICATION FOR NEWLY CONSTRUCTED LABORATORY SPACE in 2017 at Alexandria LaunchLabs in New York City 1. Upon completion of 12 projects in process targeting Fitwel certification as of December 31, 2018.	111	11
Alexandria Real Estate Equities, Inc.	REIT - Industrial	Financial	2018.0	https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ARE_2018.pdf	AlexandriaRealEstateEquities,Inc.-2018.pdf	. Upon completion of three projects in process targeting WELL certification as of December 31, 2018. 3.7M RSF of Fitwel and WELL projects1,2 19 Fitwel projects1 6 9 4 4 WELL projects2 2 GOLD 2 SILVER LEED projects1 6 PLATINUM 39 GOLD 13 SILVER #1 Global ranking in the 2018 GRESB Health & Well-being Module with perfect score of 100 $225K Total funds raised through Alexandrias 49 team members who ran the New York City Marathon to support critical oncology research at Memorial Sloan Kettering Cancer Center $68,541 Total funds donated to non-profit organizations by Alexandria team members and matched by Alexandria 82 Efciency projects on 57 operating properties in 2018 2018 Corporate Responsibility Report 03 ALEXANDRIAS LETTER TO STAKEHOLDERS We are pleased to share with you Alexandrias	111	12
Alexandria Real Estate Equities, Inc.	REIT - Industrial	Financial	2018.0	https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ARE_2018.pdf	AlexandriaRealEstateEquities,Inc.-2018.pdf	Corporate Responsibility Report, which highlights the continued execution of our industry-leading environmental, social, and governance (ESG) initiatives, programs, and policies benefiting our tenants, employees, and communities, as well as preserving and enhancing value for our stockholders over the long term. For Alexandria, our business has long been about more than real estate. Our mission to create unique clusters that ignite and accelerate the worlds leading innovators in their noble pursuit of advancing human health by curing disease and improving nutrition has shaped our differentiated business model, and it is the unifying basis around which we have built our four strategic verticals: real estate, venture investments, thought leadership, and corporate responsibility. We understand that innovation does not occur overnight. Accordingly, our four business verticals take the long view in building dynamic life science clusters, and in fostering the	111	13
Alexandria Real Estate Equities, Inc.	REIT - Industrial	Financial	2018.0	https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ARE_2018.pdf	AlexandriaRealEstateEquities,Inc.-2018.pdf	vitality of the life science ecosystem as whole, to catalyze life-changing innovation that benefits humankind. As part of our commitment to making positive impact on the world, Alexandrias corporate responsibility vertical focuses on sustainability and philanthropy. We are proud of the wide recognition that we received for our ESG efforts and accomplishments in 2018: We earned our second consecutive prestigious Green Star designation from the Global Real Estate Sustainability Benchmark (GRESB), which reflects our strong ESG policies, practices, and performance. We received our second consecutive Nareit Gold Investor CARE (Communications and Reporting Excellence) Award in the Large Cap Equity REIT category for superior shareholder communications and reporting, highlighting Alexandrias operational transparency and marking Alexandrias fourth Gold Investor CARE Award from 2015 to 2019. We earned an disclosure score from GRESB for public disclosures related to our ESG performance,	111	14
Alexandria Real Estate Equities, Inc.	REIT - Industrial	Financial	2018.0	https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ARE_2018.pdf	AlexandriaRealEstateEquities,Inc.-2018.pdf	underscoring our reputation for transparency. We were recognized as the #1 real estate company in the world in GRESBs 2018 Health & Well-being Module. We received the inaugural Best in Building Health Company Award from Fitwel. We reduced our like-for-like energy consumption and carbon pollution by 2.4 and 2.0%, respectively, from 2017 to 2018; this brings our total carbon pollution reduction since 2015 to 14.5%, reflecting an average pace of 4.8%, which is nearly double the global target for energy efficiency according to the United Nations Sustainable Development Goals. We achieved two LEED Platinum certifications while meeting our target for LEED Gold or Platinum certification on all new ground-up developments delivered in 2018. We issued $450 million green bond in June 2018, proceeds from which continue to be allocated to	111	15
Alexandria Real Estate Equities, Inc.	REIT - Industrial	Financial	2018.0	https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ARE_2018.pdf	AlexandriaRealEstateEquities,Inc.-2018.pdf	projects that have achieved or are targeting LEED Gold or Platinum certification. We provided mission-critical funds to over 250 non-profit organizations, and our Alexandria team members volunteered over 2,600 hours through Operation CARE, our highly impactful philanthropy and volunteerism program. We initiated mission-critical project with Verily Life Sciences, LLC, Alphabets life science division, to build tech-enabled rehabilitation campus in Dayton, Ohio, for the full and sustained recovery of people living with opioid addiction. The campus ecosystem will provide comprehensive model of care and include behavioral health treatment center, rehabilitation housing, and wrap-around services to act as state-of-the-art model for opioid addiction treatment nationwide. 04 Alexandria Real Estate Equities, Inc.	111	16
Alexandria Real Estate Equities, Inc.	REIT - Industrial	Financial	2018.0	https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ARE_2018.pdf	AlexandriaRealEstateEquities,Inc.-2018.pdf	While we are proud of our achievements and actions to date, we recognize that it is business imperative, as well as our responsibility to our tenants, stockholders, employees, and industry, to continue raising the bar, particularly in the area of climate change. In 2019 and beyond, Alexandria will remain focused on actively identifying, managing, and responding to the impacts of climate change and issues of sustainability by: Continuing to implement projects that lead us toward our 2025 sustainability goals, which include reducing energy consumption, carbon pollution, potable water consumption, and waste for buildings in operation; Contributing to the establishment of industry standards for measuring and reducing the global warming impact of construction materials; Developing framework to enable us to evaluate and consider the potential impacts of climate	111	17
Alexandria Real Estate Equities, Inc.	REIT - Industrial	Financial	2018.0	https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ARE_2018.pdf	AlexandriaRealEstateEquities,Inc.-2018.pdf	change in design decisions, construction projects, and building operations in order to enhance how we manage and reduce potential climate-related financial impacts on our business; and Investing in unique opportunities through our agtech platform to help improve nutrition and expand access to food in the face of changing climate and weather patterns that could affect the developed and developing worlds for decades to come.	111	18
Alexandria Real Estate Equities, Inc.	REIT - Industrial	Financial	2018.0	https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ARE_2018.pdf	AlexandriaRealEstateEquities,Inc.-2018.pdf	To meet these key objectives, we will harness our best-in-class teams unique talents, leverage their deep relationships with our innovative tenants and partners, and call upon our teams deeply held sense of mission to build with purpose. The private sector must play key role in leading and convening stakeholders toward positive economic, environmental, and social outcomes that create shared successes to benefit society and the planet at large. To help us further drive our process, we will focus on implementing our sustainability goals and transparency around the ESG dimensions that will enable us to be more purposeful, establish more accountability, and ensure that the ESG efforts we undertake are right for both our business and our stakeholders. By creating sustainable, collaborative life science and technology campuses; investing in promising companies that are pursuing the	111	19
